package.name,repos,repos.note,Note,Preinstall.Command,Postinstall.Command
assertr,CRAN,,,,
PKNCA,CRAN,,,,
rmarkdown,CRAN,,,,
testthat,CRAN,,,,
dplyr,CRAN,,,,
tidyr,CRAN,,,,
doBy,CRAN,,,,
ggplot2,CRAN,,,,
latticeExtra,CRAN,,,,
deSolve,CRAN,,,,
metrumrg,RForge,,,,
rio,CRAN,,,,
readr,CRAN,,,,
devtools,CRAN,,,,
XML,CRAN,,,,
reshape,CRAN,,,,
tabulizerjars,GitHub,leeper/tabulizerjars,Requires Java (jre) installation first,,
tabulizer,GitHub,leeper/tabulizer,Requires Java (jre) installation first,,
svglite,CRAN,,,,
printr,http://cran.rstudio.com,,,,
shiny,CRAN,,,,
audited,http://R-Forge.R-project.org,,,,
igraph,CRAN,,,,
extrafont,CRAN,,,,font_import(prompt=FALSE);loadfonts()
lme4,CRAN,,,,
directlabels,CRAN,,,,
GGally,CRAN,,For ggcorr,,
xpose4,CRAN,,,,
knitcitations,CRAN,,,,
naturalsort,CRAN,,,,
roxygen2,CRAN,,,,
sas7bdat.parso,GitHub,BioStatMatt/sas7bdat.parso,,,
covr,CRAN,,,,
Pkdata,GitHub,billdenney/Pkdata,,,
RNMImport,GitHub,MikeKSmith/RNMImport,2016-11-01 The CRAN version doesn't have some patches required for rspeaksnonmem,,
rspeaksnonmem,GitHub,MikeKSmith/rspeaksnonmem,,,
